1.1. 不住寂靜法則
   - 對正法的淨信：確信法是世尊所善說，能於現世或未來產生果報，能被親身體證，能引導修行，並應由智者各自證知。
   - 對僧伽的淨信：確信僧伽是世尊的弟子，是善行者、正行者、以智行者，此四雙八輩的僧伽是應受供養、尊重、布施、合掌的世間無上福田。
   - 聖者所稱讚的戒行：持守無缺、無瑕、無污、導向心靈自由、為智者所喜悅、不執著、能助成禪定的清淨戒律。
176.4. 緣起法的通達
   聖弟子以智慧正確地觀察與理解緣起法則：
   - 集起過程：因為無明，所以有行；因為有行，所以有識……如此構成了整個苦蘊的聚集。
   - 息滅過程：因為無明徹底滅除，所以行滅；因為行滅，所以識滅……如此構成了整個苦蘊的息滅。

177.1. 成就預流果位的核心條件
177.1.1 止息五種導致恐懼的重罪
- 殺生
- 不與取
- 邪欲
- 妄語
- 飲酒
177.1.2 具備四種預流支
- 對佛具足淨信
- 對法具足淨信
- 對僧伽具足淨信
- 具足聖者所稱讚之戒
177.1.3 以智慧通達聖法
- 善思惟緣起法
- 以智慧正確地見與知聖法
177.2. 成就之果證

當修行者圓滿以上三項條件時，若其意願，即可依自身證知：已從地獄、畜生、餓鬼等惡趣解脫，證得預流果位，不再墮入惡趣，決定趨向最終覺悟。

178.1. 苦的生成與止息法則
178.1.1 普遍法則
- 苦的產生根源於感官、對應的外境與由此產生的識，三者接觸而產生觸，由觸引發感受，再由感受產生渴愛，此渴愛即是苦得以聚集與生起的根本原因。
- 苦的止息根源於對渴愛的徹底斷除與滅盡，渴愛滅則取著滅，取著滅則存在滅，存在滅則生命誕生滅，生命誕生滅則老死、愁、悲、苦、憂、惱等一切苦難皆滅，如此便達到全部苦蘊的完全止息。
178.1.2 適用的感官領域
此生成與止息法則普遍適用於以下六種感官與外境的組合：
- 眼與色
- 耳與聲
- 鼻與香
- 舌與味
- 身與觸
- 意與法

179.1. 世間苦蘊的生成與止息通則
179.1.1 苦蘊生成法則
- 依感官（眼、耳、鼻、舌、身、意）與對應外境（色、聲、香、味、觸、法）相互作用，產生感官意識。
- 感官、外境與意識三者結合為觸。
- 觸引生感受，感受引生渴愛，渴愛引生執取，執取引生存在，存在引生生命，生命引生老死、愁、悲、苦、憂、惱等一切苦蘊。
179.1.2 苦蘊止息法則
- 感官與外境相互作用，產生感官意識，三者結合為觸，引生感受，進而引生渴愛。
- 渴愛完全捨棄、斷除、滅盡時，執取便滅除。
- 執取滅則存在滅，存在滅則生命滅，生命滅則老死、愁、悲、苦、憂、惱等一切苦蘊滅除。
179.2. 六種感官途徑的運作
179.2.1 感官途徑的共通要素
- 感官：眼、耳、鼻、舌、身、意
- 對應外境：色、聲、香、味、觸、法
- 產生識：眼識、耳識、鼻識、舌識、身識、意識
- 三者和合為觸
179.2.2 法則應用於具體途徑
- 上述生成法則與止息法則，普遍適用於所有六種感官途徑。
- 生成時：從觸開始的連鎖反應導致苦蘊生成。
- 止息時：渴愛滅除則後續連鎖反應逐一滅除，導致苦蘊滅除。

180.1. 苦蘊的聚集與滅盡過程
180.1.1 六根與六境接觸生起識
- 眼根與色境接觸生起眼識
- 耳根與聲境接觸生起耳識
- 鼻根與香境接觸生起鼻識
- 舌根與味境接觸生起舌識
- 身根與觸境接觸生起身識
- 意根與法境接觸生起意識
180.1.2 從接觸到苦蘊形成的連鎖反應
- 根、境、識三者和合產生觸
- 緣於觸而產生感受
- 緣於感受而產生渴愛
- 緣於渴愛而產生執取
- 由此形成完整的苦蘊聚集
180.1.3 從根源斷除的連鎖反應
- 當渴愛完全止息、遠離貪欲時，執取便滅除
- 緣於執取滅除，存在便滅除
- 由此達成完整的苦蘊滅盡
180.2. 法則的普遍適用性
180.2.1 六根領域的共同法則
- 上述苦蘊聚集與滅盡的法則
- 平等適用於所有六根領域的運作
- 構成修行實踐的根本基礎

181.1. 離於二邊的中道教說
181.1.1 兩種應捨的極端見解
   - 認為「行為與結果由同一主體承受」是一種極端。
   - 認為「行為與結果由不同主體承受」是另一種極端。
181.1.2 如來所教的中道法義
   - 不落於上述兩種極端見解之中。
181.2. 緣起法則的運作
181.2.1 苦蘊生起的過程
   - 緣於無明，故而產生行。
   - 緣於行，故而產生識。
   - 如此輾轉相緣，導致了全部苦蘊的聚集。
181.2.2 苦蘊息滅的過程
   - 由於無明被徹底斷除，達到離貪與滅盡的狀態，故而導致行的息滅。
   - 由於行的息滅，如此輾轉相因，導致了全部苦蘊的息滅。

182.1. 捨離兩種極端見解
- 「一切為有」與「一切為無」是兩種極端見解，應當遠離。
182.2. 依於中道說法
- 如來依於中道說明真理。
182.3. 緣起與還滅的法則
- 緣起法則：從無明至行，乃至識等輾轉相緣，構成整個苦蘊的生起。
- 還滅法則：從無明息滅至行息滅，乃至識等輾轉息滅，構成整個苦蘊的息滅。

183.1. 四種世間見解的領域
183.1.1 第一世間領域
- 主張「一切為有」。
183.1.2 第二世間領域
- 主張「一切為無」。
183.1.3 第三世間領域
- 主張「一切為一」。
183.1.4 第四世間領域
- 主張「一切為異」。
183.2. 如來所教的中道
183.2.1 捨離極端見解
- 如來不執著於上述任何一種極端見解。
183.2.2 依中道說法
- 如來依據不落兩邊的中道來宣說教法。
183.3. 緣起法則的說明
183.3.1 苦的集起過程
- 因為無明，所以有行為造作。
- 因為行為造作，所以有識。
- 像這樣，整個苦的聚合就產生了。
183.3.2 苦的息滅過程
- 因為無明被徹底斷除，遠離貪愛、息滅，所以行為造作也息滅。
- 因為行為造作息滅，所以識也息滅。
- 像這樣，整個苦的聚合就息滅了。

184.1. 聖弟子的正確認知方式
184.1.1 不應思惟的方式
- 不應思惟「因為有什麼，所以才有什麼」或「因為沒有什麼，所以沒有什麼」的單向/否定因果關係
- 不應追問「什麼生起/滅除時，什麼才會生起/滅除」的具體時序
- 不應探究十二支緣起各支「因何故有」或「因何故無」的個別原因
184.1.2 應當具備的認知
- 無需依賴其他因緣即能在此法上產生智慧
- 如實了知「有此故有彼」的緣起關係與「此無故彼無」的還滅關係
- 完整認知世間生起與息滅的整個過程
184.2. 世間流轉與還滅的緣起法則
184.2.1 緣起順觀與逆觀
- 無明為緣故行生起，無明滅故行滅
- 行為緣故識生起，行滅故識滅
- 識為緣故名色生起，識滅故名色滅
- 名色為緣故六處生起，名色滅故六處滅
- 六處為緣故觸生起，六處滅故觸滅
- 觸為緣故受生起，觸滅故受滅
- 受為緣故愛生起，受滅故愛滅
- 愛為緣故取生起，愛滅故取滅
- 取為緣故有生起，取滅故有滅
- 有為緣故生生起，有滅故生滅
- 生為緣故老死生起，生滅故老死滅
184.3. 正確知見的成就
184.3.1 如實知見的內容
- 如實知曉世間的生起與息滅
184.3.2 成就的果德
- 具足正確的見解
- 達到究竟的境地
- 安立於超越生死的境界

185.1. 緣起法則總綱
185.1.1 世間生起之因果序列
- 有無明故有行
- 有行故有識
- 有識故有名色
- 有名色故有六處
- 有六處故有觸
- 有觸故有受
- 有受故有愛
- 有愛故有取
- 有取故有有
- 有有故有生
- 有生故有老死
185.1.2 世間息滅之因果序列
- 無無明故無行
- 無行故無識
- 無識故無名色
- 無名色故無六處
- 無六處故無觸
- 無觸故無受
- 無受故無愛
- 無愛故無取
- 無取故無有
- 無有故無生
- 無生故無老死
185.2. 聖弟子之智見
185.2.1 正知世間生滅
- 如實知世間之集
- 如實知世間之滅
185.3. 聖弟子之成就
185.3.1 智慧成就
- 達見
- 見此正法
- 具足學智
- 具足學明
- 聖明達慧
185.3.2 修行成就
- 入於法流
- 皆立於不死之扉

186.1. 觀察思惟苦的根源
186.1.1 探究老死之因
- 老死等種種苦，以「生」為根本原因。
- 有生則有老死，無生則無老死。
186.1.2 探究生起之因
- 生以「有」為因。
- 有以「取」為因。
- 取以「愛」為因。
- 愛以「受」為因。
- 受以「觸」為因。
- 觸以「六處」為因。
- 六處以「名色」為因。
- 名色以「識」為因。
- 識以「行」為因。
- 行以「無明」為根本原因。
- 有無明則有行，無無明則無行。
186.2. 知曉與實踐滅苦之道
186.2.1 通達緣起
- 知曉每一支（老死、生、有、取、愛、受、觸、六處、名色、識、行）的存在。
- 知曉每一支的集起原因。
- 知曉每一支的息滅。
- 知曉導向每一支息滅的道路。
186.2.2 捨無明而生明
- 陷於無明者，其識會根據所造作的福行、非福行、不動行而趣向相應之處。
- 比丘捨棄無明，生起明慧。
- 生起明慧後，便不再造作福行、非福行、不動行。
186.3. 離繫縛的體驗狀態
186.3.1 對感受的離執
- 感受樂受、苦受、不苦不樂受時，了知其為無常、不可取著、不可喜樂。
- 於一切感受中，皆能離脫地感受，心不執取。
186.3.2 對身命的覺知
- 感受身體範圍內的感受時，清楚覺知「我正在感受身體範圍內的感受」。
- 感受生命範圍內的感受時，清楚覺知「我正在感受生命範圍內的感受」。
- 身體壞滅時，了知「生命在此結束，所有感受已止息，不再有喜樂，變得冰冷，只剩下殘骸」。
186.4. 無明滅則苦滅的法則
186.4.1 還滅的次第
- 無明滅則行滅。
- 行滅則識滅。
- 識滅則名色滅。
- 名色滅則六處滅。
- 六處滅則觸滅。
- 觸滅則受滅。
- 受滅則愛滅。
- 愛滅則取滅。
- 取滅則有滅。
- 有滅則生滅。
- 生滅則老死憂悲苦惱滅。
186.4.2 苦的完全止息
- 不造作、不思惟世間事物。
- 因不執取，故無畏怖。
- 因無畏怖，故自證涅槃，了知「生命已盡，清淨修行已成立，應作之事已完成，不再有輪迴再生」。

187.1. 苦的集滅法則
- 對能被執取的事物，觀想其樂趣則貪愛增長，觀想其過患則貪愛止息。
- 貪愛為緣生執取，執取為緣生存在，存在為緣生出生，出生為緣生老死、憂愁、悲傷、痛苦、憂惱。
- 貪愛止息則執取止息，執取止息則存在止息，存在止息則出生止息，出生止息則老死、憂愁、悲傷、痛苦、憂惱止息。

188.1. 緣起法則之運作
- 對所結縛之法的觀察方式，決定後續緣起鏈的發展方向。
- 觀察樂味則引發渴愛增長，觀察過患則導致渴愛息滅。
- 渴愛狀態直接影響執取、存在、生命、老死等現象的生成或息滅。
188.2. 緣起支分細節歸納
188.2.1 觀察對象
- 所結縛之法
188.2.2 核心緣起支
- 渴愛
- 執取
- 存在
- 生命
- 老死、愁悲苦憂惱
188.2.3 觀察方式
- 觀察樂味
- 觀察過患
188.3. 法則與細節之應用
- 緣起法則普遍適用於所有緣起支：前支為後支生起之充分條件，前支息滅則後支必然息滅。
- 觀察方式作為初始因，透過渴愛狀態的變化，連鎖影響所有後續緣起支的生成與息滅。
- 苦蘊的完整集聚或息滅，取決於此緣起鏈的連續運作狀態。

189.1. 所結之法觀想的基本法則
189.1.1 觀想所緣與苦蘊流轉
- 若於所結之法住味觀，則愛增長，由愛增長故取增長，如是則全部苦蘊集。
- 若於所結之法住患觀，則愛息滅，由愛息滅故取息滅，如是則全部苦蘊滅。

190.1. 苦蘊集滅法則
190.1.1 核心法則
- 對所取之法執著樂味則增長愛欲，觀察過患則滅除愛欲
- 愛欲生起則執取生起，愛欲息滅則執取息滅
- 執取形成存在，執取息滅則存在息滅
- 由此集起或息滅全部苦蘊
190.1.2 法則應用細節
190.1.2.1 所取之法
- 執著樂味觀察
- 觀察過患
190.1.2.2 因果序列
- 愛欲
- 執取
- 存在
- 苦蘊

191.1. 苦的聚集法則
191.1.1 執取與貪愛的增長
- 對於所執取的一切現象，若安住於品味其樂受的觀點，會增長內心的貪愛。
- 貪愛增長便會進一步產生執取。
191.1.2 苦的完整形成
- 由執取為緣，便有了存在的過程。
- 如此便是全部苦惱積聚的完整生起。
191.2. 苦的滅盡法則
191.2.1 貪愛的止息
- 對於所執取的一切現象，若安住於觀察其過患的觀點，會導致內心貪愛止息。
- 貪愛止息則執取隨之滅去。
191.2.2 苦的完全滅盡
- 由執取滅去為緣，存在的過程也會滅去。
- 如此便是全部苦惱積聚的完全滅盡。

192.1. 苦蘊集滅法則
192.1.1 法則概述
- 對所結之法，住味觀則苦蘊集，住患觀則苦蘊滅。
192.1.2 集起次第
- 住味觀則增長於愛，緣愛而有取，此乃全苦蘊之集。
192.1.3 息滅次第
- 住患觀則愛滅，由愛滅則有取滅，此乃全苦蘊之滅。

193.1. 苦蘊聚集與止息的共通法則
193.1.1 名色生滅的根本原因
- 對於所結縛的境界，內心安住於樂見與貪味則名色生起。
- 對於所結縛的境界，內心安住於觀察其過患則名色滅盡。
193.1.2 名色流轉的次第過程
- 緣於對境界的貪味，名色得以顯現；緣於觀察過患，名色不再顯現。
- 緣於名色的存在，六入處得以生起；緣於名色的滅盡，六入處隨之滅去。
- 由此輾轉相緣，導致完整的苦蘊聚集；由此輾轉還滅，導致完整的苦蘊息滅。

194.1. 苦蘊生滅之法則
194.1.1 觀法方式決定識之顯隱
- 對於所結之法，若住於味觀（樂著貪愛），則會有識的顯現；若住於患觀（觀察過患），則不會有識的顯現。
194.1.2 識之狀態決定苦蘊生滅
- 緣於識的顯現，便會有名色的生起，如此便是全部苦蘊的聚集。
- 由於識的滅盡，便會有名色的滅盡，如此便是全部苦蘊的滅盡。

195.1. 緣起法則的深遠性
緣起法甚深且深遠。眾生因未能證悟此法，故如纏結般被困於痛苦之中，無法脫離惡趣輪迴。
195.2. 苦蘊的集聚與息滅法則
195.2.1 基於所取之法的觀察方式
- 若執著並觀察所取之法的樂味，則會增長愛欲。
- 若觀察所取之法的過患，則愛欲會息滅。
195.2.2 緣起流轉與還滅的過程
- 緣於愛而產生執取，緣於執取而形成存在，緣於存在而出現生命，緣於生命則有老死、愁悲、苦憂、惱等現象。
- 由於愛滅，執取便息滅；由於執取滅，存在便息滅；由於存在滅，生命便息滅；由於生命滅，則老死、愁悲、苦憂、惱等現象皆息滅。

196.1. 凡夫對身心現象的錯誤認知與執著
196.1.1 對物質身體的態度
- 凡夫能對由四大元素構成的身體產生厭惡、厭離並希望從中解脫。
- 因為此身體是可見的，會增長、損壞、被獲取與捨棄。
196.1.2 對精神現象的態度
- 凡夫無法對心、意或識產生厭惡、厭離並從中解脫。
- 原因在於凡夫長久以來懷有「我所有」的觀念，並執取於「這是我的，這就是我，這是我的自我」。
196.2. 凡夫執著精神現象甚於物質身體的原因
196.2.1 物質身體的特性
- 物質身體能夠持續存在一年、兩年，乃至百年或更久。
196.2.2 精神現象的特性
- 被稱為心、意或識的現象，則是日夜不停地轉變，以不同的形態生起與滅去。
196.3. 聖弟子的正確認知與解脫途徑
196.3.1 思惟緣起法則
- 多聞的聖弟子應善於思惟緣起法則：有此故有彼，此生故彼生；此無故彼無，此滅故彼滅。
- 具體而言，緣於無明而有行，緣於行而有識……如此構成了整個苦的集合。
- 當無明被完全捨斷、滅除，伴隨著貪愛的止息，行就會滅除；行滅除故識滅除……如此整個苦的集合就會滅除。
196.3.2 對五蘊生厭離心並得解脫
- 多聞的聖弟子對色（物質形態）、受（感受）、想（認知）、行（心志活動）、識（了別意識）皆產生厭惡。
- 因厭惡而厭離，因厭離而離貪，因離貪而得到解脫。
- 解脫時生起解脫的智慧，了知生命已盡，清淨修行已確立，應作之事已完成，不再有未來的輪迴生起。

197.1. 凡夫對身心現象的錯誤認知
197.1.1 對物質身體的態度
- 凡夫能對由四大元素構成的物質身體產生厭惡、遠離並希望解脫。
- 因為物質身體的增長、衰退、取得與捨棄是明顯可見的。
197.1.2 對精神現象的執著
- 凡夫無法對心、意、識等精神現象產生厭惡、遠離並解脫。
- 因為凡夫長期執著於「這是我的」、「這是我」、「這是我的自我」。
197.2. 身心現象的穩定性對比
197.2.1 物質身體的特性
- 物質身體能持續存在一年、兩年，乃至百年或更久。
197.2.2 精神現象的特性
- 心、意、識等精神現象則是日夜不斷地變化、生起與滅去。
197.3. 聖弟子的正確修行方法
197.3.1 思惟緣起法則
- 應善加思惟緣起法則：有此故有彼，此生故彼生；此無故彼無，此滅故彼滅。
197.3.2 觀察感受的生滅過程
- 樂受因樂觸而生起，樂觸滅則樂受滅。
- 苦受因苦觸而生起，苦觸滅則苦受滅。
- 不苦不樂受因不苦不樂觸而生起，不苦不樂觸滅則不苦不樂受滅。
197.4. 修行成就的解脫境界
197.4.1 厭離與解脫的過程
- 對觸、受、想、識產生厭惡。
- 因厭惡而遠離，因遠離貪愛而解脫。
197.4.2 解脫的智慧認知
- 解脫時生起解脫的智慧。
- 了知生命已盡，清淨修行已完成，應作之事已作，不再有來生。

198.1. 四食觀照通則
198.1.1 觀照本質
- 了知某一食的真實面貌，就能了知與其直接關聯的一類煩惱或現象。
198.1.2 觀照結果
- 了知該類煩惱或現象後，聖弟子便能斷除由此產生的束縛，或達到無事可為的究竟解脫狀態，不再返回此世間。
198.2. 四食各論
198.2.1 摶食
- 本質：粗細一切物質性的食物。
- 所了知：對五種妙欲的貪愛。
- 結果：斷除束縛，不再返回此世間。
198.2.2 觸食
- 本質：根、境、識三者和合產生的接觸感受。
- 所了知：三種感受。
- 結果：聖弟子便再無可為之事，已達究竟解脫。
198.2.3 意思食
- 本質：內心的意願、思求與渴望。
- 所了知：三種渴愛。
- 結果：聖弟子便再無可為之事，已達究竟解脫。
198.2.4 識食
- 本質：心識的活動，它執取著名色（身心現象），成為生命持續的基礎。
- 所了知：名色。
- 結果：聖弟子便再無可為之事，已達究竟解脫。

199.1. 四食為生命存續與再生之基礎
199.1.1 四食的定義
- 四種食是維持有情生命、追求再生所依賴的資糧。
- 第一是粗或細的摶食。
- 第二是觸食。
- 第三是意思食。
- 第四是識食。
199.2. 緣起流轉法則：由貪愛導致苦的生起
199.2.1 核心法則
- 對任何一種食產生貪、喜、愛，就會導致識的住留與增長。
- 識的住留與增長，會導致名色的顯現。
- 名色的顯現，會導致諸行的增上。
- 諸行的增上，會導致未來後有的再生。
- 未來後有的再生，會導致未來的生與老死。
- 有未來的生與老死，就會有愁、苦、惱。
199.2.2 法則的普遍應用
- 此流轉法則普遍適用於對四食中的任何一種產生貪愛。
- 無論是對摶食、觸食、意思食或識食有貪，都遵循相同的緣起鏈條，最終導致苦的聚集。
199.3. 緣起還滅法則：由離貪導致苦的息滅
199.3.1 核心法則
- 對任何一種食沒有貪、喜、愛，就不會有識的住留與增長。
- 沒有識的住留與增長，就不會有名色的顯現。
- 沒有名色的顯現，就不會有諸行的增上。
- 沒有諸行的增上，就不會有未來後有的再生。
- 沒有未來後有的再生，就不會有未來的生與老死。
- 沒有未來的生與老死，就不會有愁、苦、惱。
199.3.2 法則的普遍應用
- 此還滅法則普遍適用於對四食中的任何一種離貪。
- 無論是對摶食、觸食、意思食或識食無貪，都遵循相同的還滅鏈條，最終導致苦的息滅。

200.1. 緣起法則的順逆觀
200.1.1 緣起流轉與還滅
- 緣起法則包含苦蘊之集與苦蘊之滅兩個對應過程。
- 苦蘊之集：由「識」與「名色」互緣而生，次第引生六處、觸、受、愛、取、有、生、老死。
- 苦蘊之滅：隨「識」與「名色」互緣而滅，次第引致六處、觸、受、愛、取、有、生、老死止息。
200.2. 解脫之道：八支聖道
200.2.1 古聖道跡
- 此道是過去正覺者所通行的古道。
- 此道即是八支聖道。
- 依循此道，能知曉苦、苦之集、苦之滅，以及趣向苦滅之道跡。

201.1. 苦之根源與解脫法則
201.1.1 苦的生成序列
- 世間存在生、老、死等種種痛苦。
- 這些痛苦以「億波提」（取著）為根本原因。
- 「億波提」又以「愛」為根本原因。
- 因此，有「愛」則有「億波提」，有「億波提」則有「老死」等苦。
201.1.2 解脫的實踐路徑
- 必須了知苦、苦的集起、苦的息滅，以及導向苦滅的道路。
- 如此實踐，才是符合正法的修行者，才能真正行於苦的滅盡。
201.2. 愛的生起與執著處
201.2.1 愛執著的對象
- 「愛」在何處生起，就在何處停留。
- 「愛」生起並停留於世間那些可愛、令人愉悅的對象上。
- 這些對象即是眼、耳、鼻、舌、身、意六根。
201.3. 導致苦增長的正見與邪見
201.3.1 導致苦增長的邪見
- 無論過去、現在或未來的修行者，若將六根所對的可愛、悅意之境，視為是恆常的、快樂的、屬於我的、無災患的、安穩的，便會增長對它們的「愛」。
- 「愛」增長則「億波提」增長，「億波提」增長則「苦」增長。
- 如此則無法從生、老、死、愁、悲、苦、憂、惱中解脫，即無法解脫於苦。
201.3.2 導致苦息滅的正見
- 無論過去、現在或未來的修行者，若將六根所對的可愛、悅意之境，視為是無常的、痛苦的、無我的、如病的、可怖畏的，便能捨離對它們的「愛」。
- 「愛」捨離則「億波提」捨離，「億波提」捨離則「苦」捨離。
- 如此則能從生、老、死、愁、悲、苦、憂、惱中解脫，即解脫於苦。

202.1. 緣起法則的根本原理
202.1.1 否定四種邪執
- 任何一法皆非自生、他生、共生或無因生。
202.1.2 確立緣起正理
- 一切法皆是依於其前導的條件（緣）而生起。
- 此有故彼有，此生故彼生。
202.2. 十二緣起支的相互依存關係
202.2.1 順觀流轉門
- 緣於「無明」而生起「行」。
- 緣於「行」而生起「識」。
- 緣於「識」而生起「名色」。
- 緣於「名色」而生起「六處」。
- 緣於「六處」而生起「觸」。
- 緣於「觸」而生起「受」。
- 緣於「受」而生起「愛」。
- 緣於「愛」而生起「取」。
- 緣於「取」而生起「有」。
- 緣於「有」而生起「生」。
- 緣於「生」而生起「老死」等一切苦蘊。
202.2.2 名色與識的相互依存
- 緣於「名色」而有「識」，緣於「識」而有「名色」。
- 兩者相互依持，如同兩束蘆葦，缺一不可。
202.2.3 逆觀還滅門
- 若「名色」滅，則「識」滅；若「識」滅，則「名色」滅。
- 依此類推，每一支的息滅，將導致其後支的息滅，最終達到一切苦蘊的息滅。
202.3. 解脫道的實踐與成就
202.3.1 三種比丘的標準
- 若能針對某一法宣說其厭離、離貪、滅盡之道，可稱為「法師比丘」。
- 若能實踐對某一法的厭離、離貪、滅盡，可稱為「行法、隨順法比丘」。
- 若能透過對某一法的厭離、離貪、滅盡，達到不執取、心得解脫，可稱為「達現法涅槃比丘」。
202.3.2 實踐的具體所緣
- 此實踐可應用於所有緣起支：從老死、生、有、取、愛、受、觸、六處、名色、識、行，乃至無明。

203.1. 緣起流轉與還滅法則
203.1.1 緣起順逆觀
- 緣無明而生起行，無明滅則行滅
- 緣行而生起識，行滅則識滅
- 緣識而生起名色，識滅則名色滅
- 緣名色而生起六處，名色滅則六處滅
- 緣六處而生起觸，六處滅則觸滅
- 緣觸而生起受，觸滅則受滅
- 緣受而生起愛，受滅則愛滅
- 緣愛而生起取，愛滅則取滅
- 緣取而生起有，取滅則有滅
- 緣有而生起生，有滅則生滅
- 緣生而生起老死，生滅則老死滅
203.2. 涅槃境界
203.2.1 解脫本質
- 有滅即是涅槃
- 此境界可透過智慧現觀證知
203.3. 認知方式
203.3.1 現觀智慧
- 不依信仰、欲望、傳說、表象覺知、思辨推論而認知
- 唯依智慧現量證知緣起法則

204.1. 緣起法則的雙向運作
204.1.1 法則的普遍適用性
- 緣起法則的運作具有一致性：任一環節的增長或衰減，必然導致下一環節相應的增長或衰減。
- 無明是緣起鏈條的根本起點：無明的狀態直接決定後續所有環節的發展方向。
204.1.2 具體環節的歸納整合
- 核心環節序列：無明 → 行 → 識 → 名色 → 六處 → 觸 → 受 → 愛 → 取 → 有 → 生 → 老死
- 各環節的關聯特性：每個環節都既是前一環節的結果，也是後一環節的條件
204.1.3 法則的應用機制
- 上述核心法則普遍適用於所有具體環節：任一環節的變化都遵循「此有故彼有，此無故彼無」的因果律
- 從無明到老死的所有環節都受同一緣起法則支配：流轉與還滅是同一法則的兩種表現形式

205.1. 解脫道之修行次第
205.1.1 修行目標
- 如實知見六處
- 對六處生起厭離
- 遠離欲貪
- 獲得解脫
205.1.2 修行成就之表徵
- 生已盡
- 梵行已立
- 應作已作
- 更不再生
205.2. 六處觀察法要
205.2.1 觀察對象
- 眼處與色塵
- 耳處與聲塵
- 鼻處與香塵
- 舌處與味塵
- 身處與觸塵
- 意處與法塵
205.2.2 觀察方法
- 如實知見六處集起之法
- 如實知見六處滅盡之法
- 如實知見六處集起與滅盡之法
205.3. 修行成就之驗證
205.3.1 智慧成就
- 了知六處生起之因緣
- 了知六處滅盡之因緣
- 了知六處生滅之全貌
205.3.2 解脫成就
- 於六處生厭離心
- 遠離對六處之貪著
- 心得解脫
- 解脫智生
205.4. 修行成果之確認
- 自知不受後有
- 如實知見修行已完成
- 確認梵行已圓滿建立
- 如實了知生命束縛已徹底斷除

206.1. 解脫之本質與途徑
206.1.1 解脫之定義與途徑
- 解脫者了知：生已盡，梵行已立，應作已作，更不再生。
- 解脫可經由智慧達成，此為慧解脫。
206.2. 解脫智慧之次第與內涵
206.2.1 智慧之次第與緣起法則
- 法住智為前，涅槃智為後。
- 法住智是對緣起法則的如實知見：能知見緣生故有老死，乃至緣無明故有行；亦能知見緣生滅故老死滅，乃至緣無明滅故行滅。
206.3. 智慧觀察之對象與通則
206.3.1 觀察五蘊之通則
- 對於任何過去、未來、現在，內、外、麤、細、劣、勝、遠、近的五蘊，都不得認作是「我」、「我所」或「我的我」，必須以如實的正確智慧來看待。
206.3.2 五蘊無我之觀察
- 色、受、想、行、識皆是無常的，無常故是苦，對於此無常、苦、變易之法，不得認作是「我」、「我所」或「我的我」。
206.4. 智慧觀察之結果與解脫
206.4.1 厭離至解脫之過程
- 多聞的聖弟子對色、受、想、行、識如是見而厭離。
- 因厭離而離貪，由離貪而解脫。
- 於解脫時，生起解脫之智，了知生已盡，梵行已立，應作已作，更不再生。
206.5. 解脫不依賴神通
- 成就解脫智慧，並不必然伴隨以下神通能力：享受種種神通變化、以天耳聽聞遠近音聲、以心知他眾生心、憶念種種宿住、以天眼見眾生業行生死、以身觸證超色無色的寂靜解脫。

207.1. 盜法出家之過患
207.1.1 盜法出家之性質
- 於善說之法與律中，以盜取法的方式出家。
- 此行為是愚癡、無智且不善的。
207.1.2 盜法出家之果報
- 將承受比世間刑罰更為嚴重的苦報與劇報。
- 其果報乃至墮於地獄。
207.2. 如法悔過之準則
207.2.1 悔過之前提
- 必須認知到自己的行為是罪過。
207.2.2 悔過之方式
- 應依照正法進行悔過。
207.3. 如法悔過之利益
207.3.1 得攝受與領納
- 對於如法悔過者，僧團將予以攝受與領納其悔罪。
207.3.2 增長功德與入於律儀
- 於聖者之律中，見罪為罪並如法悔過，能令功德增長。
- 於未來能進入清淨的律儀生活。

208.1. 核心資格法則
208.1.1 不具備資格者
- 任何沙門或婆羅門，若未能透徹理解從「老死」至「行」等十二支緣起法。
- 具體而言，是不知道這些法的生起原因、息滅方法以及導向息滅的實踐途徑。
- 這些人，名義上雖是沙門或婆羅門，但實質上並不符合其資格。
- 他們無法在現世中，親自證悟並安住於沙門與婆羅門的真正意義之中。
208.1.2 具備資格者
- 任何沙門或婆羅門，若能透徹理解從「老死」至「行」等十二支緣起法。
- 具體而言，是知道這些法的生起原因、息滅方法以及導向息滅的實踐途徑。
- 這些人，名義上與實質上都是真正的沙門與婆羅門。
- 他們能在現世中，親自證悟並安住於沙門與婆羅門的真正意義之中。
208.2. 必須透徹理解的具體內容
208.2.1 十二支緣起法清單
- 老死
- 生
- 有
- 取
- 愛
- 受
- 觸
- 六處
- 名色
- 識
- 行
208.3. 每一支法的理解範疇
- 必須理解該法的本質。
- 必須理解該法生起的原因。
- 必須理解該法息滅的狀態。
- 必須理解導向該法息滅的實踐途徑。
208.4. 核心法則的應用
- 上述「核心資格法則」普遍適用於「十二支緣起法清單」中的每一項。
- 對於清單中的任何一法，若缺乏透徹理解，則不具備資格；若能透徹理解，則具備資格。

209.1. 無知則需修行之通則
209.1.1 若不能如實知見十二緣起各支，則必須尋求正確的指導與實踐方法。此十二緣起支為：
- 老死
- 生
- 有
- 取
- 愛
- 受
- 觸
- 六處
- 名色
- 識
- 行
209.1.2 對於每一緣起支，若不能如實知見以下四個方面，則必須尋求正確的指導與實踐方法：
- 該緣起支本身
- 該緣起支的集起原因
- 該緣起支的息滅
- 導向該緣起支息滅的道跡
209.2. 修行所必需的要素

